Name,Lon,Lat,Glon,Glat,Gidx,Gjdx,Dist(km),VZA
Cuiaba,-56.070214,-15.555244,-56.06778382254469,-15.561026579923205,3689,3546,0.6936917895415228,28.15
Alta_Floresta,-56.104453,-9.871339,-56.11233754540177,-9.873243823551881,3713,3247,0.8893298655649032,24.63
Jamari,-63.068552,-9.19907,-63.06121113479024,-9.203758927451743,3357,3214,0.9597380292119483,17.41
Tucson,-110.953003,32.233002,-110.95425088144582,32.24714313740884,1223,1117,1.5767966469559784,54.239998
GSFC,-76.839833,38.9925,-76.8503783852416,38.98786964406552,2635,803,1.0467797878041656,45.579998
Kolfield,-74.476387,39.802223,-74.47315878610318,39.79392659938238,2733,773,0.9628602219952054,46.44
Porto_Nacional,-48.41,-10.7,-48.4202707660929,-10.70143904418539,4078,3286,1.1335480839770529,33.079998
Brasilia,-47.900002,-15.917,-47.905003221635006,-15.908675994342394,4067,3556,1.0689822187590783,36.02
Harvard_Forest,-72.188,42.532,-72.1847662919432,42.52574852486604,2821,676,0.7439249184621317,49.53
Wallops,-75.47195,37.93285,-75.46367105203115,37.926946687413356,2692,843,0.9788420313123776,44.34
Hampton_Roads,-76.449997,36.783333,-76.46073072935418,36.79162053383369,2649,887,1.3277369945642947,43.05
Hagerstown,-77.724998,39.708332,-77.73026580160081,39.71986741980502,2600,776,1.3595205070482095,46.39
Hog_Island,-75.675,37.453,-75.67279176610417,37.458777637112554,2683,861,0.6713623687920885,43.75
Tukurui,-49.683331,-3.716666,-49.67848833477155,-3.718413017244359,4044,2913,0.5713827609961553,29.8
Arizona,-110.788002,32.442001,-110.78561367661368,32.428758481294544,1232,1109,1.4894621619958532,54.26
Santarem,-54.706,-2.428584,-54.70147701077397,-2.429090946883285,3801,2844,0.5056336223003639,23.92
Waskesiu,-106.069578,53.914386,-106.05769052516503,53.90935934963361,1829,372,0.9584470393767738,68.25
Ariquiums,-63.033332,-9.916667,-63.03091773674833,-9.910529347064935,3357,3252,0.7319184944624145,17.9
Colorado,-105.550003,40.450001,-105.5521725769151,40.440477221589006,1558,784,1.0747926030567938,56.829998
AFRAME,-63.070137,-9.196667,-63.06121113479024,-9.203758927451743,3357,3214,1.2576822582639497,17.41
Fruiteria,-63.108334,-9.708195,-63.11579793599293,-9.705227294257252,3353,3241,0.8821192917239057,17.67
Babes_Inn,-63.102665,-9.457084,-63.10718017896012,-9.463534973780858,3354,3228,0.8716656775753051,17.529999
JamTown,-63.1798,-9.190911,-63.17553062460855,-9.184526629889941,3351,3213,0.8506451673308227,17.32
Key_Biscayne,-80.16333,25.731966,-80.15687130467917,25.736739747071653,2459,1365,0.8368403927545762,30.97
Sevilleta,-106.885002,34.354721,-106.89818289599128,34.35057400965649,1400,1021,1.2948980776143098,52.82
Jornada,-106.516944,32.351111,-106.52153650831467,32.34717084632269,1379,1103,0.6148726935594044,51.09
